DATE,RANK
2021-02-21,1
2021-02-28,3
2021-03-07,10
2021-03-14,2
2021-03-21,3
2021-03-28,9
2021-04-04,10
2021-04-11,7
2021-04-18,7
2021-04-25,
2021-05-02,12
2021-05-09,9
2021-05-16,14
2021-05-23,
2021-05-30,
2021-06-06,15
2021-06-13,
2021-06-20,
2021-06-27,
2021-07-04,
2021-07-11,
