Date,Close
2021-01-23,52.9743
2021-01-24,52.9743
2021-01-25,54.9925
2021-01-26,54.80725
2021-01-27,53.949072
2021-01-28,54.222706
2021-01-29,54.281215
2021-01-30,54.281215
2021-01-31,54.281215
2021-02-01,53.396059
2021-02-02,53.192157
2021-02-03,52.652548
2021-02-04,53.754728
2021-02-05,53.156742
2021-02-06,53.156742
2021-02-07,53.156742
2021-02-08,53.093442
2021-02-09,54.535052
2021-02-10,54.289854
2021-02-11,54.253095
2021-02-12,54.441821
2021-02-13,54.442678
2021-02-14,54.442678
2021-02-15,54.567261
2021-02-16,54.841579
2021-02-17,54.457794
2021-02-18,54.449369
2021-02-19,54.452566
2021-02-20,54.452566
2021-02-21,54.452566
2021-02-22,54.732806
2021-02-23,54.406798
2021-02-24,54.264025
2021-02-25,54.479157
2021-02-26,54.403931
2021-02-27,54.403931
2021-02-28,54.403931
2021-03-01,53.922245
2021-03-02,53.544854
2021-03-03,52.898622
2021-03-04,53.061421
2021-03-05,53.55762
2021-03-06,53.55762
2021-03-07,53.55762
2021-03-08,53.368976
2021-03-09,53.447902
2021-03-10,52.958772
2021-03-11,53.043988
2021-03-12,53.154843
2021-03-13,53.154843
2021-03-14,54.065952
2021-03-15,53.846774
2021-03-16,53.88628
2021-03-17,53.585267
2021-03-18,54.036119
2021-03-19,54.326912
2021-03-20,54.326912
2021-03-21,54.326912
2021-03-22,55.064562
2021-03-23,54.974286
2021-03-24,54.380435
2021-03-25,53.974147
2021-03-26,54.021847
2021-03-27,54.021847
2021-03-28,54.021847
2021-03-29,54.124379
2021-03-30,53.904588
2021-03-31,54.106209
2021-04-01,53.790376
2021-04-02,53.864386
2021-04-03,53.906377
2021-04-04,53.911609
2021-04-05,53.678575
2021-04-06,53.618386
2021-04-07,53.11851
2021-04-08,53.348828
2021-04-09,53.59475
2021-04-10,53.59475
2021-04-11,53.59475
2021-04-12,53.582872
2021-04-13,53.571123
2021-04-14,52.479558
2021-04-15,52.789209
2021-04-16,53.242339
2021-04-17,53.242339
2021-04-18,53.242339
2021-04-19,53.283328
2021-04-20,53.455244
2021-04-21,53.431994
2021-04-22,53.266932
2021-04-23,53.751111
2021-04-24,53.751111
2021-04-25,54.544937
2021-04-26,54.455284
2021-04-27,54.382766
2021-04-28,53.971838
2021-04-29,53.761107
2021-04-30,53.914535
2021-05-01,53.980431
2021-05-02,53.980431
2021-05-03,53.49088
2021-05-04,53.549666
2021-05-05,53.27999
2021-05-06,53.368107
2021-05-07,53.494398
2021-05-08,53.494398
2021-05-09,53.494398
2021-05-10,54.076384
2021-05-11,54.020018
2021-05-12,52.792521
2021-05-13,52.940977
2021-05-14,52.794621
2021-05-15,52.794621
2021-05-16,52.794621
2021-05-17,52.766378
2021-05-18,52.722626
2021-05-19,52.913053
2021-05-20,52.932221
2021-05-21,54.185913
2021-05-22,54.186699
2021-05-23,54.186699
2021-05-24,54.334964
2021-05-25,54.65748
2021-05-26,54.320504
2021-05-27,53.939184
2021-05-28,53.580561
2021-05-29,53.580561
2021-05-30,53.580561
2021-05-31,53.580561
2021-06-01,53.67661
2021-06-02,53.362852
2021-06-03,53.191199
2021-06-04,53.408043
2021-06-05,53.408043
2021-06-06,53.408043
2021-06-07,53.277751
2021-06-08,53.144832
2021-06-09,53.06611
2021-06-10,52.991645
2021-06-11,53.186096
2021-06-12,53.186096
2021-06-13,53.186096
2021-06-14,53.112947
2021-06-15,52.95932
2021-06-16,51.939883
2021-06-17,51.680343
2021-06-18,51.760901
2021-06-19,51.760901
2021-06-20,51.760901
2021-06-21,51.666885
2021-06-22,51.763069
2021-06-23,52.301904
2021-06-24,52.633511
2021-06-25,52.652664
2021-06-26,52.700349
2021-06-27,52.700349
2021-06-28,52.678675
2021-06-29,52.711431
2021-06-30,52.124295
2021-07-01,52.014152
2021-07-02,52.105449
2021-07-03,52.105449
2021-07-04,51.875099
2021-07-05,51.875099
2021-07-06,51.506595
2021-07-07,51.83027
2021-07-08,51.61698
2021-07-09,51.612871
2021-07-10,51.612871
2021-07-11,51.612871
2021-07-12,51.555196
2021-07-13,51.556072
2021-07-14,51.183399
2021-07-15,51.099852
2021-07-16,51.209837
2021-07-17,51.209837
2021-07-18,52.423018
2021-07-19,52.452551
2021-07-20,52.331278
2021-07-21,52.102192
2021-07-22,52.309477
2021-07-23,52.393667
2021-07-24,52.393667
2021-07-25,52.393667
2021-07-26,52.710312
2021-07-27,52.550923
2021-07-28,51.897702
